Date,Open,Low,High,Close,Volume
2019-01-02,2050.550048828125,2004.27001953125,2053.449951171875,2010.0,326400
2019-01-03,2011.81005859375,1991.6500244140625,2014.719970703125,1993.699951171875,428000
2019-01-04,1992.4000244140625,1984.530029296875,2011.56005859375,2010.25,409000
2019-01-07,2034.239990234375,2030.9000244140625,2048.06005859375,2037.0999755859373,440200
2019-01-08,2038.6800537109373,2023.5899658203125,2042.699951171875,2025.27001953125,397800
2019-01-09,2034.18994140625,2034.18994140625,2068.22998046875,2064.7099609375,386200
2019-01-10,2065.72998046875,2057.159912109375,2072.81005859375,2063.280029296875,382900
2019-01-11,2070.360107421875,2063.989990234375,2076.989990234375,2075.570068359375,380100
2019-01-14,2070.489990234375,2059.4599609375,2073.93994140625,2064.52001953125,432900
2019-01-15,2069.139892578125,2067.580078125,2098.010009765625,2097.179931640625,439500
2019-01-16,2098.64990234375,2091.919921875,2106.35009765625,2106.10009765625,500100
2019-01-17,2110.139892578125,2101.699951171875,2117.429931640625,2107.06005859375,475900
2019-01-18,2116.429931640625,2113.43994140625,2124.5,2124.280029296875,456700
2019-01-21,2133.8701171875,2114.449951171875,2134.169921875,2124.610107421875,398000
2019-01-22,2126.030029296875,2108.909912109375,2129.3701171875,2117.77001953125,419400
2019-01-23,2108.719970703125,2106.739990234375,2131.050048828125,2127.780029296875,408600
2019-01-24,2127.8798828125,2125.47998046875,2145.080078125,2145.030029296875,413700
2019-01-25,2147.919921875,2146.639892578125,2178.010009765625,2177.72998046875,410000
2019-01-28,2184.409912109375,2169.169921875,2188.14990234375,2177.300048828125,371600
2019-01-29,2172.830078125,2162.530029296875,2183.360107421875,2183.360107421875,552600
2019-01-30,2183.489990234375,2177.8798828125,2206.199951171875,2206.199951171875,480400
2019-01-31,2222.8798828125,2201.219970703125,2222.8798828125,2204.85009765625,545200
2019-02-01,2211.929931640625,2201.409912109375,2218.780029296875,2203.4599609375,479400
2019-02-07,2215.77001953125,2196.77001953125,2215.7900390625,2203.419921875,427800
2019-02-08,2192.010009765625,2171.9599609375,2192.47998046875,2177.050048828125,391000
2019-02-11,2180.5400390625,2167.360107421875,2181.580078125,2180.72998046875,406100
2019-02-12,2182.7099609375,2178.590087890625,2195.050048828125,2190.469970703125,429900
2019-02-13,2200.0,2194.75,2203.7099609375,2201.47998046875,422000
2019-02-14,2195.919921875,2186.090087890625,2225.85009765625,2225.85009765625,573400
2019-02-15,2210.93994140625,2187.7099609375,2210.93994140625,2196.090087890625,400600
2019-02-18,2207.360107421875,2203.0,2217.320068359375,2210.889892578125,314400
